Celda,Longitud_px,Longitud_mm,Longitud_cm,Long_r,Long_h,Estado
celda_01.jpg,153.0,32.54,3.25,2.54,0.71,GERMINADA
celda_02.jpg,164.0,34.88,3.49,2.33,1.16,GERMINADA
celda_03.jpg,120.0,25.52,2.55,2.55,0.0,GERMINADA
celda_04.jpg,114.0,24.25,2.42,2.42,0.0,GERMINADA
celda_05.jpg,83.0,17.65,1.77,1.77,0.0,GERMINADA
celda_06.jpg,93.0,19.78,1.98,1.98,0.0,GERMINADA
celda_07.jpg,108.0,22.97,2.3,2.3,0.0,GERMINADA
celda_08.jpg,91.0,19.36,1.94,1.94,0.0,GERMINADA
celda_09.jpg,110.0,23.4,2.34,2.34,0.0,GERMINADA
celda_10.jpg,50.0,10.63,1.06,1.06,0.0,GERMINADA
celda_11.jpg,87.0,18.5,1.85,1.85,0.0,GERMINADA
celda_12.jpg,40.0,8.51,0.85,0.85,0.0,GERMINADA
celda_13.jpg,,,,0.0,0.0,NO GERMINADA
celda_14.jpg,47.0,10.0,1.0,1.0,0.0,GERMINADA
celda_15.jpg,,,,0.0,0.0,NO GERMINADA
celda_16.jpg,,,,0.0,0.0,NO GERMINADA
celda_17.jpg,,,,0.0,0.0,NO GERMINADA
celda_18.jpg,27.0,5.74,0.57,0.57,0.0,GERMINADA
celda_19.jpg,,,,0.0,0.0,NO GERMINADA
celda_20.jpg,,,,0.0,0.0,NO GERMINADA
